discipline,disciplineLabel,disciplineDescription
http://www.wikidata.org/entity/Q1140539,Critical legal studies,movement in legal thought committed to shaping society based on a vision of human personality devoid of hidden interests and class domination
http://www.wikidata.org/entity/Q575929,Croatian studies,"the science of the Croatian language, Croatian culture and Croatian literature, a branch of Slavic studies"
http://www.wikidata.org/entity/Q113001573,"Culture, representation and identity",field of research
http://www.wikidata.org/entity/Q59068,Czech studies,field of humanities
http://www.wikidata.org/entity/Q115669401,Djiboutian studies,Broader: African studies
http://www.wikidata.org/entity/Q1128227,Dravidian studies,academic study of Dravidian culture
http://www.wikidata.org/entity/Q839477,Dunhuangology,
http://www.wikidata.org/entity/Q1987969,Dutch studies,"study of Dutch language, literature, and cultural history"
http://www.wikidata.org/entity/Q162817,East Asian studies,field of scholarly enquiry and education about East Asia
http://www.wikidata.org/entity/Q1440799,Eastern Church Studies,
http://www.wikidata.org/entity/Q1413113,Eastern European studies,academic discipline
http://www.wikidata.org/entity/Q113732282,Eathworms study,
http://www.wikidata.org/entity/Q11551012,Edo studies,
http://www.wikidata.org/entity/Q145903,Egyptology,scientific study of ancient Egypt
http://www.wikidata.org/entity/Q109587623,English literature,discipline that studies English-language literature
http://www.wikidata.org/entity/Q27968,English studies,discipline that studies the English language and literature
http://www.wikidata.org/entity/Q115669424,Eritrean studies,Broader: African studies
http://www.wikidata.org/entity/Q124611847,Ethnocartography,Subdiscipline of cartography and ethnography
http://www.wikidata.org/entity/Q23019171,Eurasian studies,academic field
http://www.wikidata.org/entity/Q1048268,European integration,"process of political, economic, social, and cultural integration of European states"
http://www.wikidata.org/entity/Q108371114,European integration studies,academic discipline
http://www.wikidata.org/entity/Q1377029,European studies,academic discipline
http://www.wikidata.org/entity/Q2088309,Filipinology,study of the Philippines and its people
http://www.wikidata.org/entity/Q362748,Finnish studies,
http://www.wikidata.org/entity/Q133260960,Finno-Ugric linguistics,study of Finno-Ugric languages
http://www.wikidata.org/entity/Q897219,Finno-Ugric studies,study of Finno-Ugric languages
http://www.wikidata.org/entity/Q1453477,Freebase,online knowledge base (2007-2016)
http://www.wikidata.org/entity/Q11333703,French language studies,discipline that studies the French language and literature
http://www.wikidata.org/entity/Q6689,French literature,literature written by French authors or French-speaking authors
http://www.wikidata.org/entity/Q1450761,French studies,academic discipline and major
http://www.wikidata.org/entity/Q124624042,GIS science,science about GIS; for GI Science use Q124468378
http://www.wikidata.org/entity/Q115669443,Gambian studies,Broader: African studies
http://www.wikidata.org/entity/Q944537,Geisteswissenschaften,set of human sciences that are traditional in German universities
http://www.wikidata.org/entity/Q112947517,Gene expression,field of research (including microarray and other genome-wide approaches)
http://www.wikidata.org/entity/Q107560101,Georgian studies,academic discipline and major
http://www.wikidata.org/entity/Q133260943,German linguistics,study of the German language
http://www.wikidata.org/entity/Q76996465,German philology,
http://www.wikidata.org/entity/Q166153,German studies,"field of humanities that researches, documents, and disseminates German language and literature"
http://www.wikidata.org/entity/Q2620112,Germanic philology,philological study of Germanic languages
http://www.wikidata.org/entity/Q115669458,Ghana studies,Broader: African studies
http://www.wikidata.org/entity/Q16267481,Greek studies,study of the ancient Greek language and literature
http://www.wikidata.org/entity/Q107427,Halakha,Jewish rabbinical law
http://www.wikidata.org/entity/Q29980364,Hebrew Bible studies,scholarly field focused on the Tanakh
http://www.wikidata.org/entity/Q489119,Hellenic studies,"academic discipline that focuses on the language, literature, history and politics of post-classical Greece"
http://www.wikidata.org/entity/Q5766501,Hindu studies,study of traditions and practices of the Indian subcontinent
http://www.wikidata.org/entity/Q491481,Hittitology,study of the Ancient Hittites and their Near Eastern Empire which was based in Hattusa in modern day Anatolia
http://www.wikidata.org/entity/Q1568255,Holocaust studies,Academic study of the Holocaust
http://www.wikidata.org/entity/Q109505011,Holodomor studies,academic study of the Holodomor
http://www.wikidata.org/entity/Q133260951,Hungarian linguistics,study of the Hungarian language
http://www.wikidata.org/entity/Q3738441,I Ching studies,
http://www.wikidata.org/entity/Q35832005,Iberian studies,Area studies
http://www.wikidata.org/entity/Q113951766,Iberoamerican studies,
http://www.wikidata.org/entity/Q1413128,Indo-European studies,study of speakers of the Indo-European languages
http://www.wikidata.org/entity/Q625510,Indology,"study of Indian history, literature, philosophy, and culture"
http://www.wikidata.org/entity/Q1661989,Industry 4.0,4th Industrial revolution or current trend of automation and data exchange in manufacturing technologies 4.0
http://www.wikidata.org/entity/Q13125650,Intelligence studies,academic Field
http://www.wikidata.org/entity/Q55659899,International Trade,academic major
http://www.wikidata.org/entity/Q6056054,Internet studies,field which studies many dimensions of the Internet and associated technologies
http://www.wikidata.org/entity/Q1367176,Iranian studies,"an interdisciplinary field dealing with the study of the history, literature, art and culture of Iranian peoples, a part of the of Oriental studies"
http://www.wikidata.org/entity/Q843909,Islamic studies,study of Islam
http://www.wikidata.org/entity/Q124814325,Israel studies,"academic discipline studying politics, history, & culture of the modern state of Israel"
http://www.wikidata.org/entity/Q515601,Italian studies,field of philology related to Italian language or literature
http://www.wikidata.org/entity/Q11509142,Japanese linguistics,
http://www.wikidata.org/entity/Q11506048,Japanese mythography,
http://www.wikidata.org/entity/Q875592,Japanese studies,area studies focused on Japan
http://www.wikidata.org/entity/Q108823107,Jewish communities studies,
http://www.wikidata.org/entity/Q42002,Jewish studies,academic discipline centered on the study of Jews and Judaism
http://www.wikidata.org/entity/Q10879912,Jian jia xue pai,"a particular academic discipline on various aspects of ancient Chinese society and history, named and abbreviated for Qianlong and Jiaqing periods in the Qing Dynasty"
http://www.wikidata.org/entity/Q15900575,Jin Yong studies,
http://www.wikidata.org/entity/Q1075418,Kansei engineering,
http://www.wikidata.org/entity/Q149678,Kashubian studies,"Philological discipline, a branch of Slavic studies"
http://www.wikidata.org/entity/Q714838,Korean studies,academic discipline that focuses on the study of Korea
http://www.wikidata.org/entity/Q6502543,LGBT linguistics,study of language used by LGBTQ
http://www.wikidata.org/entity/Q28617,Latin American studies,academic discipline
http://www.wikidata.org/entity/Q113128791,Latin and classical Greek literature,field of research
http://www.wikidata.org/entity/Q1806979,Latin studies,study of Latin language and literature
http://www.wikidata.org/entity/Q28075,Latino studies,studies of the Latino people
http://www.wikidata.org/entity/Q1519115,Legisprudence,
http://www.wikidata.org/entity/Q115669699,Liberian studies,Broader: African studies
http://www.wikidata.org/entity/Q115669714,Libyan studies,Broader: African studies
http://www.wikidata.org/entity/Q10978135,Lithuanian studies,
http://www.wikidata.org/entity/Q722609,MARC standards,digital formats for library cataloguing
http://www.wikidata.org/entity/Q972270,Madonna studies,examination of pop idol Madonna
http://www.wikidata.org/entity/Q115669800,Maghreb studies,Broader: African studies
http://www.wikidata.org/entity/Q55585049,Maltese studies,academic discipline and academic major for the Maltese language
http://www.wikidata.org/entity/Q112980803,Manufacturing robotics,field of research
http://www.wikidata.org/entity/Q12244500,Maqāṣid al-Sharīʿah,goals or objectives of sharia within an Islamic legal doctrine
http://www.wikidata.org/entity/Q3303205,Masonic studies,study of Freemasonry
http://www.wikidata.org/entity/Q12771257,Maya studies,"branch of American studies, the study of the culture and history of the Maya"
http://www.wikidata.org/entity/Q359146,Mediology,Cultural transmission theory by Régis Debray
http://www.wikidata.org/entity/Q12796440,Metrics,study of the rhythmic structure of a poem
http://www.wikidata.org/entity/Q106594369,Michael Jackson Studies,examination of music artist Michael Jackson
http://www.wikidata.org/entity/Q12211529,Middle Eastern studies,academic discipline
http://www.wikidata.org/entity/Q2026729,Mishpat Ivri,Aspects of halakha that are relevant to non-religious or secular law.
http://www.wikidata.org/entity/Q1944500,Mongolian studies,area field of Mongolian
http://www.wikidata.org/entity/Q11785348,Montenegrin studies,
http://www.wikidata.org/entity/Q36451,Māori,Polynesian language spoken in New Zealand
http://www.wikidata.org/entity/Q11652447,Nagasaki studies,
http://www.wikidata.org/entity/Q115669680,Namibian studies,Broader: African studies
http://www.wikidata.org/entity/Q27752,Native American studies,interdisciplinary academic field
http://www.wikidata.org/entity/Q23019185,Near Eastern studies,academic field
http://www.wikidata.org/entity/Q24952707,Neo-Latin philology,academic discipline
http://www.wikidata.org/entity/Q1981839,New Testament studies,scholarly field focused on the New Testament
http://www.wikidata.org/entity/Q115669647,Nigerian studies,Broader: African studies
http://www.wikidata.org/entity/Q11139382,Okinawanology,
http://www.wikidata.org/entity/Q124455513,Pakistani linguistics,study of the languages spoken in Pakistan
http://www.wikidata.org/entity/Q125017173,Palestine studies,interdisciplinary academic field that focuses on the study Palestine(region)
http://www.wikidata.org/entity/Q12408688,Palestinian studies,interdisciplinary field of scholarship
http://www.wikidata.org/entity/Q922610,Polish heraldry,Study of coats of arms in lands of Poland
http://www.wikidata.org/entity/Q1463332,Polish studies,study of Polish language and literature
http://www.wikidata.org/entity/Q1721024,Portuguese studies,area studies concerning Portugal and Portuguese
http://www.wikidata.org/entity/Q86008805,Postsocialism,"academic study of states after the fall or decline of socialism, especially in Eastern Europe and Asia"
http://www.wikidata.org/entity/Q434198,Pre-Columbian studies,academic discipline
http://www.wikidata.org/entity/Q695827,Protohistory,period between prehistory and written history
http://www.wikidata.org/entity/Q112970717,Public participation and community engagement,field of research
http://www.wikidata.org/entity/Q2370897,Quranic studies,academic discipline
http://www.wikidata.org/entity/Q25111456,Renaissance studies,interdisciplinary study of Renaissance culture
http://www.wikidata.org/entity/Q1277348,Romance studies,"academic discipline that covers the study of the languages, literatures, and cultures of areas that speak a Romance language"
http://www.wikidata.org/entity/Q2037434,Romani studies,interdisciplinary ethnic studies field concerned with the experiences of the Romani people
http://www.wikidata.org/entity/Q2175941,Romanian studies,
http://www.wikidata.org/entity/Q67511251,Royal Command and Staff College,
http://www.wikidata.org/entity/Q4261898,Russian linguistics,study of the Russian language
http://www.wikidata.org/entity/Q375470,Russian studies,philology and history in Russia
http://www.wikidata.org/entity/Q115669585,Rwandan studies,Broader: African studies
http://www.wikidata.org/entity/Q108107660,STEM education,"field of education in science, technology, engineering, and mathematics"
http://www.wikidata.org/entity/Q115669616,Sahel studies,"African studies concerned with the climate, geography, history, culture, or languages of the Sahel"
http://www.wikidata.org/entity/Q112107934,Sanskrit literature,discipline that studies the Sanskrit-language literature
http://www.wikidata.org/entity/Q922219,Scandinavian studies,field of study
http://www.wikidata.org/entity/Q54837,Semantic Web,extension of the Web to facilitate data exchange
http://www.wikidata.org/entity/Q2272224,Serbian studies,
http://www.wikidata.org/entity/Q26331146,Serbo-Croatian studies,academic discipline
http://www.wikidata.org/entity/Q101243133,Shakespeare studies,branch of literary studies that deals with the works of William Shakespeare
http://www.wikidata.org/entity/Q17217481,Shinanology,
http://www.wikidata.org/entity/Q114567052,Shinto studies,
http://www.wikidata.org/entity/Q115672782,Sierra Leone studies,Broader: African studies
http://www.wikidata.org/entity/Q9393074,Sindhology,"field of South Asian studies and academic research that covers the history, society, culture, literature and people of Sindh, Pakistan"
http://www.wikidata.org/entity/Q156864,Slavic studies,"studies of Slavic peoples, languages and culture"
http://www.wikidata.org/entity/Q4423818,Slovak studies,"the study of Slovak language, culture, and history"
http://www.wikidata.org/entity/Q2294725,Slovene studies,
http://www.wikidata.org/entity/Q7560824,Sonata theory,approach to the description
http://www.wikidata.org/entity/Q149594,Sorbian studies,academic discipline
http://www.wikidata.org/entity/Q115669494,South African studies,Broader: African studies
http://www.wikidata.org/entity/Q105397778,South Asia studies,"study of South Asian history, literature, philosophy, and culture"
http://www.wikidata.org/entity/Q7569309,Southeast Asian studies,"study of Southeast Asia history, culture, etc."
http://www.wikidata.org/entity/Q111017081,Soviet politics,academic discipline
http://www.wikidata.org/entity/Q76243567,Soviet studies,Academic discipline concerning the Soviet Union
http://www.wikidata.org/entity/Q94310568,Spanish studies,area studies concerning Spain
http://www.wikidata.org/entity/Q115669513,Sudan studies,(Sudanese studies) Broader: African studies
http://www.wikidata.org/entity/Q2365225,Sumerology,"study of ancient Sumer (language, culture and history)"
http://www.wikidata.org/entity/Q2135371,Swiss law,academic discipline
http://www.wikidata.org/entity/Q7663197,Syriac studies,the study of the Syriac language and Syriac Christianity
http://www.wikidata.org/entity/Q17149027,Taiwan studies,academic discipline
http://www.wikidata.org/entity/Q7681446,Tamilology,"study of the Tamil language, Tamil literature, and the culture of the Tamil people"
http://www.wikidata.org/entity/Q7683174,Tangutology,"study of the Tangut people, its history, culture and language"
http://www.wikidata.org/entity/Q12471333,Tax accounting,field of accounting
http://www.wikidata.org/entity/Q10504412,Tea science,Science of tea culture
http://www.wikidata.org/entity/Q174028,Thai studies,"study of Thailand and Thai history, culture, etc."
http://www.wikidata.org/entity/Q1143760,Tibetology,study of things related to Tibet
http://www.wikidata.org/entity/Q115669553,Togolese studies,Broader: African studies
http://www.wikidata.org/entity/Q16706727,Tolstoy studies,study of Tolstoy's life and works
http://www.wikidata.org/entity/Q8427,Turkology,"complex of humanities sciences studying languages, history, literature, folklore, culture, and ethnology of people speaking Turkic languages and Turkic peoples"
http://www.wikidata.org/entity/Q11526189,Tōhoku studies,"Studying about Tohoku, Japan"
http://www.wikidata.org/entity/Q4470675,Ukrainian linguistics,Ukrainian language studies
http://www.wikidata.org/entity/Q491679,Ukrainian studies,branch of Slavic studies
http://www.wikidata.org/entity/Q169411,Unified Modeling Language,software system design modeling tool
http://www.wikidata.org/entity/Q21212481,Urartology,
http://www.wikidata.org/entity/Q2321196,Usul al-fiqh,traditional methodological principles used in Islamic jurisprudence (fiqh) for deriving the rulings of Islamic law (sharia)
http://www.wikidata.org/entity/Q110857459,Victorian studies,academic discipline; study of the literature and culture of Britain in the period roughly defined by Queen Victoria’s reign (1837-1901)
http://www.wikidata.org/entity/Q1708176,Vietnamese studies,study of Vietnam and related topics
http://www.wikidata.org/entity/Q16880640,Welsh literature,"literature originating from Wales or by Welsh authors, regardless of language"
http://www.wikidata.org/entity/Q16872093,West Slavic Studies,
http://www.wikidata.org/entity/Q64711016,Whiteness studies,"study of the structures that produce white privilege, the examination of what whiteness is when analyzed as a race, a culture, and a source of systemic racism, and the exploration of other social phenomena related to White people"
http://www.wikidata.org/entity/Q6457238,World history,field of historical study. Not to be confused with universal history (genre)
http://www.wikidata.org/entity/Q1688921,Yiddish studies,science of Yiddish language and literature
http://www.wikidata.org/entity/Q115675891,Yoruba studies,Broader: African studies
http://www.wikidata.org/entity/Q111597209,Yugoslav studies,"field within area studies; study of Yugoslavian history, culture, ethnology, etc."
http://www.wikidata.org/entity/Q115669479,Zimbabwean studies,(Rhodesian studies) Broader: African studies
http://www.wikidata.org/entity/Q2493125,accidentology,scientific study of accidents
http://www.wikidata.org/entity/Q82811,acoustics,"science that deals with the study of all mechanical waves in gases, liquids, and solids including vibration, sound, ultrasound and infrasound"
http://www.wikidata.org/entity/Q127069206,acridology,the study of grasshoppers and locusts (infraorder Acrididea)
http://www.wikidata.org/entity/Q110797464,action table,game mechanic of tabletop role-playing game (table determining action outcomes)
http://www.wikidata.org/entity/Q121713,acupuncture,form of alternative medicine
http://www.wikidata.org/entity/Q12761879,adenology,branch of medical science dealing with the structure and function of glands and lymphoid organs
http://www.wikidata.org/entity/Q5283295,administration,management of organization
http://www.wikidata.org/entity/Q113093943,adverse weather events,field of research
http://www.wikidata.org/entity/Q37038,advertising,"form of communication for marketing, typically paid for"
http://www.wikidata.org/entity/Q11064553,advertising design,
http://www.wikidata.org/entity/Q8424,aerodynamics,branch of dynamics concerned with studying the motion of air
http://www.wikidata.org/entity/Q4688251,aeroecology,ecology of aerial environments
http://www.wikidata.org/entity/Q126366418,aerolithology,the study of meteorites
http://www.wikidata.org/entity/Q1434024,aeronautical meteorology,"the field of meteorology applied to aviation that aims to contribute to the guarantee of safety standards, economy and efficiency of flights"
http://www.wikidata.org/entity/Q3798668,aerospace engineering,branch of engineering
http://www.wikidata.org/entity/Q110477187,ageing research,research field
http://www.wikidata.org/entity/Q96371551,agnoiology,the study of ignorance
http://www.wikidata.org/entity/Q395027,agnotology,study of culturally induced ignorance or doubt
http://www.wikidata.org/entity/Q396077,agrarian history,subject of history
http://www.wikidata.org/entity/Q396340,agricultural economics,applied field of economics that optimizes the production of food and fiber for agricultural development
http://www.wikidata.org/entity/Q132731824,agricultural economics,
http://www.wikidata.org/entity/Q3606845,agricultural science,academic field about agriculture and farming
http://www.wikidata.org/entity/Q4693974,agricultural soil science,branch of soil science
http://www.wikidata.org/entity/Q4057127,agricultural technology,"use of technology in agriculture, horticulture, and aquaculture with the aim of improving yield, efficiency, and profitability"
http://www.wikidata.org/entity/Q396338,agroecology,study of ecological processes in agriculture
http://www.wikidata.org/entity/Q397350,agroforestry,land use management system in which trees or shrubs are grown around or among crops or pastureland
http://www.wikidata.org/entity/Q16941540,agrology,branch of soil science dealing with agricultural crop production
http://www.wikidata.org/entity/Q396152,agrometeorology,the branch of meteorology that deals with the relationship of weather and climate to crop and livestock production and soil management
http://www.wikidata.org/entity/Q173113,agronomy,"science and technology of producing and using plants for food, fuel, fiber, and reclamation"
http://www.wikidata.org/entity/Q113147148,air transport sciences,field of research for the study of aircraft and aviation
http://www.wikidata.org/entity/Q623221,algorithmic game theory,study of algorithms in strategic environments
http://www.wikidata.org/entity/Q14565201,altmetrics,study of alternative metrics for analyzing and informing scholarship
http://www.wikidata.org/entity/Q124628259,amateur science,subclass of citizen science by amateur scientists
http://www.wikidata.org/entity/Q113134501,amino acids and metabolites in medical biochemistry,field of research
http://www.wikidata.org/entity/Q615057,anaesthesiology,medical specialty concerned with anesthesia and perioperative care
http://www.wikidata.org/entity/Q2346,analytical chemistry,"study of the separation, identification, and quantification of the chemical components of materials"
http://www.wikidata.org/entity/Q833065,analytical mechanics,formalism of mechanics based on the least action principle
http://www.wikidata.org/entity/Q4752891,ancient Near Eastern studies,academic discipline
http://www.wikidata.org/entity/Q435608,ancient history,aspect of history and classics
http://www.wikidata.org/entity/Q227675,animal breeding,procreation and rearing of animals under controlled conditions
http://www.wikidata.org/entity/Q3007160,animal culture,theory of cultural learning in nonhuman animals
http://www.wikidata.org/entity/Q80962,animal husbandry,"branch of agriculture concerned with animals that are raised for meat, fiber, milk, or other products"
http://www.wikidata.org/entity/Q4764962,animal nutrition science,science of nutrition for animals
http://www.wikidata.org/entity/Q118323427,annelidology,study of annelids
http://www.wikidata.org/entity/Q857525,annotation,piece of metadata attached to a document or other entity
http://www.wikidata.org/entity/Q4773888,anthropogeny,study of human origins
http://www.wikidata.org/entity/Q23404,anthropology,"scientific study of humans, human behavior, and societies"
http://www.wikidata.org/entity/Q10309676,anthropology of tourism,academic discipline examining sociocultural and behavioural aspects of tourism in cultures and human societies
http://www.wikidata.org/entity/Q1973833,anthroponymy,"branch of onomastics, study of anthroponyms"
http://www.wikidata.org/entity/Q650032,anthrozoology,subset of ethnobiology that deals with interactions between humans and other animals
http://www.wikidata.org/entity/Q165194,application programming interface,software interface between computers and/or programs
http://www.wikidata.org/entity/Q12817915,applied geometry,
http://www.wikidata.org/entity/Q321249,applied linguistics,study of language-related real-life problems
http://www.wikidata.org/entity/Q33521,applied mathematics,discipline of mathematics
http://www.wikidata.org/entity/Q538904,applied psychology,application of psychological theories or findings
http://www.wikidata.org/entity/Q28797,applied science,discipline that applies existing scientific knowledge to develop more practical applications
http://www.wikidata.org/entity/Q1967088,applied statistics,application of statistics to a given domain
http://www.wikidata.org/entity/Q5728861,aquatic biology,branch of biology that studies aquatic life
http://www.wikidata.org/entity/Q104196941,aquatic ecology,ecology of aquatic environments
http://www.wikidata.org/entity/Q4782809,aquatic science,multidisciplinary study of freshwater and marine ecosystems
http://www.wikidata.org/entity/Q23498,archaeology,study of the past via material culture
http://www.wikidata.org/entity/Q831154,architectural analytics,academic discipline; field of study that focuses on the discovery and identification of meaningful patterns in architecture
http://www.wikidata.org/entity/Q3922674,architectural design,design of buildings and their environments
http://www.wikidata.org/entity/Q112939606,architectural heritage and conservation,field of research
http://www.wikidata.org/entity/Q4787070,architectural technology,application of technology to the design of buildings
http://www.wikidata.org/entity/Q47537,architectural theory,"the act of thinking, discussing, and writing about architecture"
http://www.wikidata.org/entity/Q12271,architecture,"process of planning, designing and construction"
http://www.wikidata.org/entity/Q380313,archival science,science of storage and registration of historic data
http://www.wikidata.org/entity/Q11122383,archives management,maintenance and use of archives
http://www.wikidata.org/entity/Q928786,area studies,"interdisciplinary fields of research in geography, history, culture, politics, economy, ethnology, languages and sociology, within a national, regional, or local context, in order to describe or explain its specificities"
http://www.wikidata.org/entity/Q126733835,areology,branch of astronomy which studies the planet Mars in all of its aspects
http://www.wikidata.org/entity/Q55336315,art,the academic study of art
http://www.wikidata.org/entity/Q735,art,field of work that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work)
http://www.wikidata.org/entity/Q50637,art history,academic study of objects of art in their historical development
http://www.wikidata.org/entity/Q2921001,art of drawing,artistic technique and discipline of drawing
http://www.wikidata.org/entity/Q62302889,art practice,academic discipline
http://www.wikidata.org/entity/Q928865,art therapy,therapeutic technique that incorporates creative methods of expression through visual art media
http://www.wikidata.org/entity/Q3520855,arthropodology,study of arthropods
http://www.wikidata.org/entity/Q110512905,asexual studies,academic discipline that studies asexuality and asexual people
http://www.wikidata.org/entity/Q113104586,assistive robots and technology,field of research
http://www.wikidata.org/entity/Q411,astrobiology,study of the formation of life on Earth and elsewhere on other planets in outer space
http://www.wikidata.org/entity/Q30587747,astrobotany,applied sub-discipline of botany that is the study of plants in space environments
http://www.wikidata.org/entity/Q11680018,astrochemistry,study of the abundance and reactions of chemical elements and molecules in the universe
http://www.wikidata.org/entity/Q181505,astrometry,branch of astronomy that covers star positions and their movements
http://www.wikidata.org/entity/Q333,astronomy,scientific study of celestial objects and phenomena
http://www.wikidata.org/entity/Q37547,astrophysics,branch of astronomy
http://www.wikidata.org/entity/Q124611981,atlas cartography,subdiscipline of cartography
http://www.wikidata.org/entity/Q1367365,atmospheric optics,academic discipline
http://www.wikidata.org/entity/Q5334416,atmospheric physics,application of physics to the study of the atmosphere
http://www.wikidata.org/entity/Q757520,atmospheric sciences,umbrella term for the study of the atmosphere
http://www.wikidata.org/entity/Q181487,audit,"systematic and independent examination of books, accounts, documents and vouchers of an organization"
http://www.wikidata.org/entity/Q131339872,auditory ecology,"auditory environments in which humans live and function, the tasks to be undertaken by humans in these complex acoustic environments, and the importance of these tasks in daily life and daily routines"
http://www.wikidata.org/entity/Q107345988,auditory neuroscience,research field studying neurobiological and neuropathological aspects of sound perception
http://www.wikidata.org/entity/Q214526,automata theory,study of abstract machines and automata
http://www.wikidata.org/entity/Q2555318,automated reasoning,subfield of computer science and logic
http://www.wikidata.org/entity/Q184199,automation,technology use of various control systems by which a process or procedure is performed with minimal human assistance
http://www.wikidata.org/entity/Q124192,automotive engineering,discipline of engineering
http://www.wikidata.org/entity/Q770723,auxiliary science of history,scholarly disciplines which help evaluate and use historical sources and are seen as auxiliary for historical research
http://www.wikidata.org/entity/Q122951657,avian pathology,study of the diseases of birds
