nr_of_shots,expert_pattern,precision,recall,f1,time
0,1,0.87,0.86,0.86,0.55
0,1,0.86,0.84,0.85,0.54
0,1,0.88,0.84,0.86,0.56
0,1,0.86,0.85,0.86,0.57
0,1,0.85,0.84,0.84,0.54
0,1,0.88,0.82,0.85,0.54
0,1,0.87,0.82,0.85,0.55
0,1,0.86,0.85,0.86,0.54
0,1,0.88,0.79,0.83,0.54
0,1,0.86,0.82,0.84,0.59
0,1,0.83,0.81,0.82,0.54
0,1,0.86,0.85,0.86,0.57
0,1,0.85,0.86,0.85,0.55
0,1,0.84,0.81,0.82,0.54
0,1,0.82,0.83,0.82,0.56
0,1,0.86,0.86,0.86,0.54
0,1,0.84,0.83,0.83,0.57
0,1,0.79,0.82,0.80,0.61
0,1,0.85,0.81,0.83,0.51
0,1,0.89,0.83,0.86,0.54
